Kennziffer;Raumeinheit;Aggregat;Einwohner unter 3 Jahren;Einwohner von 3 bis unter 6 Jahren;Einwohner von 6 bis unter 18 Jahren;Einwohner von 18 bis unter 25 Jahren;Einwohner von 25 bis unter 30 Jahren;Einwohner von 30 bis unter 50 Jahren;Einwohner von 50 bis unter 65 Jahren;Einwohner von 65 bis unter 75 Jahren;Einwohner von 75 bis unter 85 Jahren;Einwohner 85 Jahre und älter;Durchschnittsalter der Bevölkerung ;Bevölkerungsentwicklung (zensusbasiert);Frauenanteil;Abhängigenquote Junge;Abhängigenquote Alte;Ausländeranteil;Gesamtwanderungssaldo;Zuzugsrate;Fortzugsrate;Geborene;Gestorbene;Fertilitätsrate;Lebenserwartung
;;;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2012-2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"2,9";"2,6";"9,8";"11,9";"9,1";"23,8";"19,6";"9,6";"8,2";"2,4";"42,2";"6,1";"50,2";"19,0";"30,2";"13,3";"14,3";"99,3";"85,0";"10,0";"11,7";"0,75";"78,80"
"01002";"Kiel, Stadt";"krsfr. Stadt";"2,8";"2,5";"9,4";"11,0";"10,2";"26,5";"19,1";"8,8";"7,5";"2,3";"41,5";"3,4";"51,3";"17,8";"26,7";"11,3";"1,6";"63,5";"61,9";"10,1";"10,0";"0,64";"80,05"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"2,7";"2,5";"10,0";"8,2";"7,0";"25,0";"21,5";"10,5";"9,6";"3,1";"44,7";"2,2";"52,0";"19,5";"36,1";"9,7";"1,7";"48,0";"46,3";"9,1";"12,7";"0,72";"79,62"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"2,7";"2,6";"11,3";"8,2";"6,5";"24,3";"21,8";"10,4";"9,4";"2,8";"44,2";"3,1";"50,6";"21,0";"35,3";"11,0";"1,0";"80,4";"79,3";"8,9";"14,4";"0,71";"78,65"
"01051";"Dithmarschen";"Landkreis";"2,4";"2,4";"11,2";"7,8";"5,2";"22,6";"23,8";"11,9";"9,9";"2,8";"45,8";"0,4";"50,6";"20,5";"39,2";"5,6";"4,6";"42,4";"37,7";"8,0";"13,3";"0,77";"79,28"
"01053";"Herzogtum Lauenburg";"Landkreis";"2,8";"2,8";"11,8";"6,8";"4,9";"24,9";"23,8";"10,2";"9,3";"2,8";"44,6";"4,3";"50,9";"22,2";"35,0";"7,5";"8,3";"51,6";"43,2";"9,1";"12,1";"0,87";"80,58"
"01054";"Nordfriesland";"Landkreis";"2,5";"2,4";"11,1";"7,8";"5,6";"23,1";"23,6";"11,6";"9,6";"2,8";"45,4";"2,0";"51,0";"20,1";"37,8";"6,8";"7,0";"50,3";"43,3";"8,1";"11,7";"0,73";"80,28"
"01055";"Ostholstein";"Landkreis";"2,1";"2,2";"10,3";"6,4";"4,6";"22,4";"24,7";"13,0";"11,2";"3,1";"47,7";"1,4";"51,7";"19,2";"44,8";"5,5";"5,8";"47,9";"42,1";"7,1";"14,0";"0,78";"80,39"
"01056";"Pinneberg";"Landkreis";"2,8";"2,7";"11,5";"7,2";"5,2";"25,4";"23,1";"10,3";"9,2";"2,5";"44,4";"4,6";"50,9";"21,8";"34,5";"10,1";"8,5";"53,0";"44,5";"9,1";"11,3";"0,82";"81,04"
"01057";"Plön";"Landkreis";"2,4";"2,4";"11,2";"6,6";"4,3";"22,8";"24,5";"12,3";"10,7";"2,8";"46,7";"1,7";"51,4";"20,9";"42,1";"4,7";"5,2";"49,1";"44,0";"7,4";"11,4";"0,78";"81,88"
"01058";"Rendsburg-Eckernförde";"Landkreis";"2,5";"2,6";"11,8";"7,1";"4,8";"23,8";"24,1";"11,2";"9,4";"2,6";"45,2";"1,9";"50,8";"21,6";"36,8";"5,0";"6,1";"48,1";"42,0";"8,2";"11,9";"0,83";"81,19"
"01059";"Schleswig-Flensburg";"Landkreis";"2,7";"2,6";"11,8";"7,1";"5,0";"23,4";"23,8";"11,5";"9,5";"2,6";"45,1";"2,4";"50,5";"22,0";"37,6";"5,1";"7,8";"49,6";"41,8";"8,6";"12,4";"0,83";"80,19"
"01060";"Segeberg";"Landkreis";"2,7";"2,8";"11,6";"7,1";"5,2";"25,8";"23,2";"10,5";"8,9";"2,3";"44,3";"4,6";"50,6";"21,6";"33,8";"8,1";"8,7";"54,7";"46,0";"8,8";"11,0";"0,81";"81,01"
"01061";"Steinburg";"Landkreis";"2,6";"2,5";"11,3";"7,4";"5,2";"23,8";"24,6";"10,6";"9,4";"2,6";"45,1";"1,1";"50,6";"20,5";"35,2";"6,6";"2,1";"51,9";"49,8";"8,7";"12,4";"0,87";"79,69"
"01062";"Stormarn";"Landkreis";"2,7";"2,8";"11,8";"6,7";"4,4";"25,4";"23,3";"10,6";"9,5";"2,9";"45,0";"4,1";"51,1";"22,6";"36,6";"7,0";"5,7";"52,5";"46,8";"8,4";"11,5";"0,79";"81,87"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"3,3";"2,9";"10,3";"8,0";"8,2";"29,7";"19,2";"8,6";"7,4";"2,4";"41,7";"5,6";"51,0";"20,7";"27,2";"16,2";"9,8";"54,9";"45,1";"11,5";"9,6";"1,51";"80,95"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"2,8";"2,4";"9,4";"8,9";"8,6";"26,8";"20,1";"9,4";"8,6";"3,0";"43,4";"0,9";"50,5";"18,2";"31,5";"9,7";"-0,6";"64,3";"64,9";"9,5";"11,6";"0,67";"80,62"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"3,2";"2,9";"11,5";"8,2";"6,0";"23,5";"21,8";"10,7";"9,1";"3,0";"43,9";"6,6";"50,3";"23,2";"36,3";"16,9";"11,7";"66,0";"54,3";"10,5";"13,9";"0,94";"78,73"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"3,2";"2,9";"10,2";"7,1";"7,0";"26,3";"21,0";"9,6";"9,8";"2,9";"44,1";"1,8";"50,3";"21,3";"34,9";"14,3";"1,9";"53,5";"51,6";"10,3";"12,0";"0,81";"80,46"
"03151";"Gifhorn";"Landkreis";"3,0";"2,9";"12,0";"7,4";"5,3";"25,0";"24,6";"9,6";"7,8";"2,3";"43,5";"2,4";"49,9";"22,2";"30,1";"6,2";"2,7";"41,3";"38,6";"9,4";"10,2";"0,84";"80,85"
"03153";"Goslar";"Landkreis";"2,1";"2,0";"9,5";"7,7";"5,6";"22,2";"23,6";"12,3";"11,1";"3,8";"47,5";"-0,8";"50,6";"17,6";"43,9";"8,9";"5,4";"50,7";"45,3";"7,0";"15,4";"0,73";"79,65"
"03154";"Helmstedt";"Landkreis";"2,7";"2,5";"10,5";"6,8";"5,3";"24,3";"24,7";"10,8";"9,3";"3,2";"45,6";"1,5";"50,4";"20,1";"36,4";"6,6";"1,6";"47,0";"45,4";"9,1";"14,5";"0,83";"78,60"
"03155";"Northeim";"Landkreis";"2,4";"2,4";"10,4";"7,1";"5,0";"22,5";"25,0";"11,5";"10,2";"3,5";"46,7";"-1,8";"50,8";"19,5";"40,4";"5,9";"2,7";"37,4";"34,7";"7,7";"14,4";"0,77";"80,34"
"03157";"Peine";"Landkreis";"2,8";"2,8";"11,9";"7,3";"5,0";"24,9";"23,8";"10,0";"8,7";"2,8";"44,2";"2,6";"50,6";"22,1";"33,3";"7,2";"5,9";"42,5";"36,7";"9,2";"12,1";"0,85";"80,06"
"03158";"Wolfenbüttel";"Landkreis";"2,5";"2,4";"10,9";"7,6";"5,1";"23,7";"24,4";"11,1";"9,5";"2,9";"45,6";"0,3";"50,5";"19,8";"36,7";"5,9";"0,4";"42,9";"42,5";"8,0";"12,4";"0,84";"80,28"
"03159";"Göttingen";"Landkreis";"2,5";"2,4";"10,2";"9,4";"7,1";"23,5";"22,4";"10,5";"8,8";"3,0";"44,3";"1,5";"50,9";"18,9";"34,2";"8,1";"7,3";"85,6";"78,3";"8,5";"12,1";"0,69";"80,43"
"03241";"Region Hannover";"Landkreis";"2,9";"2,7";"10,8";"8,1";"6,8";"26,1";"21,5";"9,6";"8,7";"2,8";"43,5";"3,6";"51,1";"20,9";"32,3";"13,1";"4,6";"40,9";"36,2";"9,8";"11,0";"0,75";"80,84"
"03251";"Diepholz";"Landkreis";"2,7";"2,6";"11,5";"7,4";"5,3";"24,2";"24,2";"10,5";"9,0";"2,7";"44,8";"3,0";"50,3";"21,0";"34,5";"7,8";"7,1";"54,6";"47,5";"8,5";"11,4";"0,82";"80,34"
"03252";"Hameln-Pyrmont";"Landkreis";"2,5";"2,5";"10,7";"7,1";"5,1";"22,7";"24,1";"11,3";"10,4";"3,7";"46,4";"-0,2";"51,7";"20,6";"41,0";"9,7";"5,7";"44,0";"38,3";"8,2";"13,8";"0,81";"79,84"
"03254";"Hildesheim";"Landkreis";"2,5";"2,4";"10,7";"8,4";"5,8";"23,5";"23,4";"10,7";"9,4";"3,1";"45,1";"0,5";"51,3";"19,6";"36,2";"7,6";"3,4";"40,4";"36,9";"7,9";"13,6";"0,70";"79,79"
"03255";"Holzminden";"Landkreis";"2,4";"2,3";"10,5";"7,5";"5,2";"22,0";"24,1";"11,8";"10,5";"3,7";"46,7";"-1,8";"50,5";"19,5";"42,0";"7,0";"2,1";"46,5";"44,4";"7,6";"14,8";"0,77";"80,14"
"03256";"Nienburg (Weser)";"Landkreis";"2,7";"2,6";"11,7";"7,7";"5,3";"23,5";"24,5";"10,2";"8,8";"3,0";"44,6";"1,0";"50,3";"21,3";"34,2";"7,7";"4,2";"60,1";"55,9";"8,6";"13,1";"0,85";"79,48"
"03257";"Schaumburg";"Landkreis";"2,5";"2,4";"10,9";"7,3";"5,0";"23,2";"24,3";"11,1";"9,9";"3,4";"46,0";"1,2";"51,1";"20,1";"38,7";"8,2";"8,3";"47,3";"39,0";"7,8";"14,4";"0,80";"79,31"
"03351";"Celle";"Landkreis";"2,8";"2,8";"11,8";"7,2";"5,4";"23,7";"23,2";"11,0";"9,1";"3,0";"44,7";"1,7";"50,8";"22,4";"36,9";"7,4";"6,2";"42,7";"36,6";"8,9";"12,5";"0,82";"80,19"
"03352";"Cuxhaven";"Landkreis";"2,5";"2,5";"11,2";"6,9";"4,8";"23,1";"23,9";"12,3";"9,7";"3,1";"46,0";"0,3";"51,0";"21,2";"40,4";"6,2";"2,5";"42,0";"39,5";"8,4";"13,8";"0,85";"79,99"
"03353";"Harburg";"Landkreis";"2,8";"2,8";"11,7";"7,1";"4,7";"25,0";"23,7";"10,7";"9,1";"2,4";"44,6";"4,6";"50,7";"22,2";"34,9";"7,3";"6,0";"52,9";"46,9";"9,1";"10,3";"0,89";"81,82"
"03354";"Lüchow-Dannenberg";"Landkreis";"2,2";"2,4";"10,8";"6,2";"4,4";"21,6";"24,9";"13,0";"11,0";"3,6";"47,7";"-1,2";"50,9";"20,1";"45,7";"5,3";"-1,9";"44,3";"46,1";"7,2";"15,3";"0,83";"79,02"
"03355";"Lüneburg";"Landkreis";"2,8";"2,8";"11,7";"8,6";"6,1";"25,7";"22,5";"9,6";"7,7";"2,5";"43,0";"4,2";"51,1";"21,4";"29,9";"6,6";"8,7";"53,0";"44,2";"9,0";"10,4";"0,74";"80,46"
"03356";"Osterholz";"Landkreis";"2,7";"2,6";"11,4";"7,0";"4,5";"24,1";"24,5";"11,4";"9,3";"2,5";"45,3";"2,1";"50,8";"21,4";"36,8";"5,3";"6,8";"44,8";"38,0";"8,5";"11,7";"0,83";"80,78"
"03357";"Rotenburg (Wümme)";"Landkreis";"2,6";"2,5";"12,1";"8,0";"5,6";"24,5";"23,7";"10,2";"8,2";"2,5";"43,9";"1,0";"49,7";"21,0";"31,9";"6,0";"2,9";"44,1";"41,2";"8,7";"11,9";"0,80";"80,29"
"03358";"Heidekreis";"Landkreis";"2,6";"2,6";"11,6";"7,7";"5,7";"23,9";"23,5";"10,3";"9,0";"2,9";"44,5";"2,5";"50,1";"21,2";"34,8";"7,7";"-0,1";"85,3";"85,4";"8,5";"12,3";"0,80";"80,47"
"03359";"Stade";"Landkreis";"2,9";"2,8";"12,0";"7,7";"5,7";"25,0";"22,7";"10,5";"8,4";"2,3";"43,6";"3,1";"50,3";"22,2";"32,9";"8,0";"2,5";"46,5";"44,0";"9,5";"10,7";"0,83";"80,76"
"03360";"Uelzen";"Landkreis";"2,3";"2,3";"10,8";"7,3";"5,0";"22,8";"24,5";"11,2";"10,4";"3,3";"46,5";"-0,1";"51,1";"19,7";"39,9";"5,5";"4,4";"43,9";"39,5";"7,6";"14,4";"0,77";"79,27"
"03361";"Verden";"Landkreis";"3,0";"2,9";"11,7";"7,5";"5,2";"24,3";"23,4";"10,9";"8,5";"2,6";"44,1";"3,4";"50,8";"22,6";"34,5";"7,2";"7,0";"45,8";"38,9";"10,1";"11,8";"0,98";"80,71"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"3,2";"2,8";"11,3";"8,0";"6,4";"24,2";"22,1";"10,8";"8,8";"2,4";"43,7";"5,3";"50,5";"22,2";"34,4";"14,6";"6,1";"63,5";"57,4";"11,1";"11,2";"0,95";"80,03"
"03402";"Emden, Stadt";"krsfr. Stadt";"2,9";"2,7";"11,1";"9,5";"7,2";"24,7";"20,8";"10,3";"8,1";"2,6";"43,0";"1,7";"49,9";"20,9";"32,2";"9,7";"5,2";"60,7";"55,5";"9,5";"12,4";"0,69";"78,19"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"2,7";"2,6";"10,3";"9,9";"8,8";"26,1";"20,7";"9,1";"7,4";"2,4";"42,2";"5,3";"52,2";"18,7";"27,7";"9,3";"8,5";"78,8";"70,3";"9,8";"10,3";"0,67";"80,45"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"2,8";"2,5";"9,7";"12,0";"9,5";"25,8";"19,1";"8,4";"7,6";"2,6";"41,6";"5,6";"51,6";"18,1";"27,1";"12,7";"2,3";"79,4";"77,0";"10,2";"9,7";"0,69";"81,39"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"2,6";"2,3";"9,4";"9,2";"7,3";"21,1";"21,8";"12,0";"11,0";"3,2";"45,9";"-0,3";"50,8";"19,0";"42,2";"8,5";"8,0";"71,6";"63,7";"9,3";"15,5";"0,79";"78,74"
"03451";"Ammerland";"Landkreis";"2,7";"2,7";"12,0";"7,4";"5,1";"24,2";"23,1";"11,1";"9,2";"2,5";"44,6";"4,1";"51,1";"22,2";"36,1";"5,6";"7,6";"53,7";"46,1";"8,5";"10,6";"0,81";"81,07"
"03452";"Aurich";"Landkreis";"2,6";"2,5";"11,6";"7,9";"5,5";"23,8";"23,5";"11,7";"8,4";"2,5";"44,6";"1,8";"50,7";"20,8";"35,2";"5,4";"3,3";"40,2";"36,9";"9,0";"12,9";"0,87";"78,80"
"03453";"Cloppenburg";"Landkreis";"3,4";"3,2";"13,9";"9,4";"6,6";"25,7";"21,6";"7,7";"6,4";"2,1";"40,3";"4,9";"49,4";"24,7";"24,1";"10,1";"9,8";"87,7";"77,9";"11,4";"9,6";"0,93";"80,38"
"03454";"Emsland";"Landkreis";"3,0";"2,8";"12,5";"8,4";"6,3";"25,8";"22,5";"9,3";"7,2";"2,2";"42,3";"3,4";"49,2";"22,2";"28,1";"10,3";"6,8";"53,4";"46,6";"10,0";"9,9";"0,87";"80,33"
"03455";"Friesland";"Landkreis";"2,6";"2,4";"11,0";"7,2";"4,8";"22,3";"23,9";"12,4";"10,5";"2,9";"46,4";"1,2";"51,2";"20,8";"42,1";"4,3";"5,4";"48,0";"42,6";"8,0";"12,4";"0,81";"80,53"
"03456";"Grafschaft Bentheim";"Landkreis";"2,8";"2,8";"12,5";"8,1";"5,7";"24,7";"22,9";"10,0";"7,8";"2,7";"43,2";"1,7";"50,0";"22,7";"31,5";"14,1";"1,9";"34,4";"32,5";"9,6";"10,8";"0,84";"81,03"
"03457";"Leer";"Landkreis";"2,8";"2,7";"11,9";"8,1";"5,8";"24,6";"22,9";"10,6";"8,1";"2,4";"43,6";"2,9";"50,1";"21,5";"32,5";"7,5";"6,2";"43,3";"37,1";"9,3";"11,6";"0,80";"79,71"
"03458";"Oldenburg";"Landkreis";"2,7";"2,7";"12,0";"7,7";"5,0";"24,6";"24,3";"10,2";"8,3";"2,5";"44,1";"3,6";"50,4";"21,4";"32,2";"8,1";"5,5";"77,2";"71,7";"9,0";"11,1";"0,90";"80,65"
"03459";"Osnabrück";"Landkreis";"2,9";"2,8";"12,2";"8,0";"5,6";"24,5";"23,6";"9,4";"8,2";"2,8";"43,5";"1,6";"50,3";"22,3";"31,4";"7,7";"4,6";"55,5";"50,8";"9,6";"10,6";"0,87";"81,52"
"03460";"Vechta";"Landkreis";"3,3";"3,1";"13,4";"9,7";"6,8";"26,1";"21,6";"7,7";"6,1";"2,1";"40,3";"5,3";"49,4";"23,7";"23,4";"11,7";"3,0";"74,4";"71,4";"11,0";"8,0";"0,89";"82,04"
"03461";"Wesermarsch";"Landkreis";"2,5";"2,4";"11,3";"7,8";"5,3";"22,9";"24,5";"11,1";"9,2";"2,9";"45,3";"-0,1";"49,9";"20,3";"36,3";"7,5";"1,6";"43,3";"41,8";"8,5";"13,2";"0,83";"79,68"
"03462";"Wittmund";"Landkreis";"2,5";"2,5";"11,6";"7,6";"5,2";"22,8";"23,7";"12,4";"8,9";"3,0";"45,4";"0,7";"50,8";"21,0";"38,7";"4,3";"2,5";"50,1";"47,6";"8,0";"13,0";"0,70";"79,49"
"04011";"Bremen, Stadt";"krsfr. Stadt";"2,9";"2,6";"10,2";"8,7";"7,6";"26,3";"20,6";"9,8";"8,4";"2,8";"43,2";"3,9";"50,6";"19,9";"31,8";"17,5";"5,3";"52,8";"47,6";"10,2";"11,2";"0,74";"80,29"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"3,2";"2,9";"11,3";"8,4";"6,6";"24,2";"21,6";"10,6";"8,6";"2,6";"43,4";"4,3";"50,3";"22,7";"34,2";"16,9";"2,5";"72,0";"69,5";"10,8";"13,5";"0,90";"77,86"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"3,2";"2,8";"10,0";"7,2";"8,0";"29,4";"20,1";"9,0";"7,9";"2,6";"42,6";"4,0";"51,7";"20,2";"29,0";"19,7";"6,1";"68,8";"62,8";"11,1";"10,1";"0,69";"80,94"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"3,1";"2,7";"11,2";"8,3";"7,1";"25,5";"21,7";"9,3";"8,3";"2,9";"43,1";"2,3";"50,6";"21,4";"31,2";"20,2";"-1,8";"57,9";"59,7";"10,4";"12,3";"0,81";"79,15"
"05113";"Essen, Stadt";"krsfr. Stadt";"3,0";"2,7";"10,3";"8,0";"7,3";"25,7";"21,5";"9,9";"8,6";"3,1";"43,7";"2,9";"51,5";"20,6";"33,1";"15,3";"3,2";"53,6";"50,4";"10,1";"12,7";"0,75";"79,42"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"2,8";"2,6";"11,0";"7,8";"6,3";"24,8";"22,7";"10,2";"8,9";"2,9";"44,2";"2,1";"51,3";"20,9";"34,0";"15,5";"-0,3";"51,8";"52,0";"9,5";"12,2";"0,79";"79,85"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"2,9";"2,7";"10,9";"8,1";"6,9";"25,0";"22,8";"9,9";"8,2";"2,6";"43,6";"2,8";"50,8";"20,6";"31,6";"15,3";"7,6";"56,9";"49,3";"10,0";"12,0";"0,77";"79,47"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"2,8";"2,6";"10,4";"7,1";"6,1";"24,2";"23,0";"10,7";"9,7";"3,4";"45,3";"2,8";"51,8";"20,9";"37,5";"15,1";"5,6";"47,6";"42,0";"9,3";"13,0";"0,82";"80,26"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"2,8";"2,6";"10,4";"7,6";"6,4";"25,2";"23,3";"10,2";"8,6";"2,8";"44,4";"0,7";"50,9";"20,0";"33,2";"14,6";"3,9";"46,0";"42,1";"9,4";"13,1";"0,78";"78,84"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"2,8";"2,7";"11,2";"7,5";"5,9";"24,3";"23,3";"10,3";"9,1";"2,9";"44,5";"1,1";"50,7";"21,4";"34,8";"17,5";"2,2";"43,3";"41,1";"9,0";"11,7";"0,81";"79,83"
"05122";"Solingen, Stadt";"krsfr. Stadt";"2,8";"2,7";"11,3";"7,7";"6,0";"24,8";"23,3";"9,5";"9,0";"2,9";"44,1";"2,2";"51,4";"21,2";"32,9";"16,2";"2,9";"45,8";"43,0";"9,1";"13,0";"0,75";"79,75"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"3,0";"2,8";"11,2";"8,4";"6,9";"25,0";"21,8";"9,6";"8,4";"2,8";"43,2";"3,1";"51,1";"21,7";"32,1";"18,8";"5,2";"54,1";"48,8";"10,3";"12,3";"0,80";"79,82"
"05154";"Kleve";"Landkreis";"2,7";"2,7";"11,3";"8,2";"6,1";"24,6";"23,9";"10,0";"7,8";"2,5";"43,7";"3,1";"50,2";"20,6";"30,8";"14,4";"5,6";"53,4";"47,8";"8,9";"11,6";"0,76";"79,94"
"05158";"Mettmann";"Landkreis";"2,8";"2,7";"11,1";"6,8";"5,1";"24,1";"23,7";"10,8";"10,0";"3,0";"45,4";"1,7";"51,7";"21,7";"37,9";"11,9";"4,2";"43,9";"39,8";"9,0";"12,0";"0,84";"81,07"
"05162";"Rhein-Kreis Neuss";"Landkreis";"2,9";"2,8";"11,5";"6,9";"5,2";"25,4";"23,5";"10,3";"8,9";"2,7";"44,4";"2,3";"51,4";"22,0";"34,1";"11,4";"6,2";"46,3";"40,1";"9,4";"11,3";"0,84";"81,11"
"05166";"Viersen";"Landkreis";"2,6";"2,5";"11,2";"7,4";"5,3";"24,1";"25,1";"10,4";"8,8";"2,7";"44,9";"1,1";"51,1";"20,1";"33,5";"9,7";"3,6";"46,5";"42,9";"8,4";"11,1";"0,76";"80,83"
